context,source,target
jefe de gabinete de presidencia,ceo chief executive officer,jefe de gabinete de presidencia
consejero delegado,ceo managing director,consejero delegado
ceramista,ceramic artist,ceramista
certificaciones energeticas,certification engineer,certificaciones energeticas
entrenador personal certificado,certified personal trainer,entrenador personal certificado
director financiero,cfo,director financiero
gestor cambio,change manager,gestor cambio
gestor de cambios,change manager,gestor de cambios
director canales,channel director,director canales
chef,chef,chef
chef cocina,chef,chef cocina
jefe de cocina,chef,jefe de cocina
jefe de codina,chef,jefe de codina
jefe brigada incendios forestales,chef brigade,jefe brigada incendios forestales
gerente cocinero,chef manager,gerente cocinero
cocinero propietario,chef owner,cocinero propietario
sumiller,chef sommelier,sumiller
jefe contable,chief accountant,jefe contable
jefe departamento administrativo,chief administrative officer,jefe departamento administrativo
arquitecto tecnico jefe,chief architect,arquitecto tecnico jefe
director general de negocio,chief business officer,director general de negocio
jefe de comunicacion,chief communications officer,jefe de comunicacion
cocinero jefe cocina,chief cook,cocinero jefe cocina
jefe cocina chef,chief cook,jefe cocina chef
jefe cocina cocinero,chief cook,jefe cocina cocinero
jefe de diseno,chief designer,jefe de diseno
jefe proyectista,chief designer,jefe proyectista
jefe seleccion desarrollo,chief development officer,jefe seleccion desarrollo
director jefe,chief director,director jefe
ingeniero caminos jefe,chief engineer,ingeniero caminos jefe
ingeniero jefe,chief engineer,ingeniero jefe
ingeniero jefe obras,chief engineer,ingeniero jefe obras
jefe de maquinaria,chief engineer,jefe de maquinaria
jefe de maquinas,chief engineer,jefe de maquinas
jefe de ejecucion,chief executive officer,jefe de ejecucion
jefe de finanzas,chief financial officer,jefe de finanzas
jefe financiero,chief financial officer,jefe financiero
jefe seccion recursos humanos,chief human resources officer,jefe seccion recursos humanos
jefe servicio recursos humanos,chief human resources officer,jefe servicio recursos humanos
redactor jefe informativos,chief information officer,redactor jefe informativos
jefe de mantenimiento y seguridad,chief information security officer,jefe de mantenimiento y seguridad
inspector construcciones soldadas,chief inspector,inspector construcciones soldadas
gerente jefe,chief manager,gerente jefe
jefe equipo encargado,chief manager,jefe equipo encargado
jefe mecanica,chief mechanic,jefe mecanica
jefe mecanico,chief mechanic,jefe mecanico
jefe seccion nefrologia,chief medical officer,jefe seccion nefrologia
jefe de gabinete,chief office,jefe de gabinete
oficial jefe,chief officer,oficial jefe
director de oficina en zaragoza,chief operating officer director,director de oficina en zaragoza
jefe de operaciones,chief operations officer,jefe de operaciones
jefe compras aprovisionamiento,chief procurement officer,jefe compras aprovisionamiento
jefe compras aprovisionamientos,chief procurement officer,jefe compras aprovisionamientos
jefe departamento calidad,chief quality officer,jefe departamento calidad
jefe residentes,chief resident,jefe residentes
jefe seccion aparato digestivo,chief section,jefe seccion aparato digestivo
jefe seccion obras,chief section,jefe seccion obras
jefe seccion personal,chief section,jefe seccion personal
jefe seccion ventas,chief section,jefe seccion ventas
jefe seguridad delegado,chief security officer,jefe seguridad delegado
jefe software,chief software architect,jefe software
jefe gabinete tecnico,chief technical officer,jefe gabinete tecnico
jefe oficina tecnico jefe,chief technical officer,jefe oficina tecnico jefe
jefe tecnico sonido,chief technical officer,jefe tecnico sonido
jefe dto tecnico,chief technician,jefe dto tecnico
jefe oficina tecnico jefe produccion,chief technician,jefe oficina tecnico jefe produccion
jefe responsable tecnico,chief technician,jefe responsable tecnico
jefe de tecnologi,chief technology officer,jefe de tecnologi
psicologo infanto juvenil adultos,child adolescent psychotherapist,psicologo infanto juvenil adultos
auxiliar infantil,childcare assistant,auxiliar infantil
cuidador infantil,childminder,cuidador infantil
profesor de chino,chinese teacher,profesor de chino
quiromasajista deportivo,chiropractor,quiromasajista deportivo
terapeuta quiromasajista,chiropractor,terapeuta quiromasajista
delegado de ciudad,city councillor,delegado de ciudad
ingeniero caminos canales puertos,civil engineer,ingeniero caminos canales puertos
ingeniero de caminos,civil engineer,ingeniero de caminos
ingeniero caminos canales puertos civil,civil engineering,ingeniero caminos canales puertos civil
funcionario,civil servant,funcionario
oficial ajustador,claims adjuster,oficial ajustador
tramitador de siniestros,claims handler,tramitador de siniestros
gestor de reclamaciones,claims manager,gestor de reclamaciones
responsable departamento aduanas,claims manager,responsable departamento aduanas
responsable reclamaciones,claims manager,responsable reclamaciones
agente de reclamaciones,claims officer,agente de reclamaciones
camarero limpiador,cleaner,camarero limpiador
cuidadora limpiadora,cleaner,cuidadora limpiadora
limpiador,cleaner,limpiador
limpiadora,cleaner,limpiadora
limpiadora hogar,cleaner,limpiadora hogar
administrtivo,clerical,administrtivo
administrativo general,clerk,administrativo general
asesor de belleza / dependiente,clerk,asesor de belleza / dependiente
dependiente de panaderia,clerk,dependiente de panaderia
administrador servicios,client services administrator,administrador servicios
administrativo servicios,client services administrator,administrativo servicios
administrativo clinica,clinical administrator,administrativo clinica
jefe clinico,clinical lead,jefe clinico
encargado clinica,clinical manager,encargado clinica
tecnico superior imagen diagnostico clinico,clinical supervisor,tecnico superior imagen diagnostico clinico
ensayos clinicos,clinical trials,ensayos clinicos
jefe de cierre,close protection,jefe de cierre
tornero,cnc turner,tornero
tornero fresador,cnc turner,tornero fresador
entrenador,coach,entrenador
entrenador educador,coach educator,entrenador educador
entrenador cognitivo,cognitive therapist,entrenador cognitivo
colaborador de departamento,collaborator,colaborador de departamento
colaborador experto,collaborator,colaborador experto
colaborador tertuliano,collaborator,colaborador tertuliano
coloborador habitual,collaborator,coloborador habitual
intermediador laboral,collaborator,intermediador laboral
jefe cobros,collection manager,jefe cobros
gestor de cobros y pagos,collections manager,gestor de cobros y pagos
gestor recobro,collections manager,gestor recobro
responsable cuentas cobrar,collections manager,responsable cuentas cobrar
responsable departamento de cobros,collections manager,responsable departamento de cobros
captador,collector,captador
cobrador,collector,cobrador
articulista,columnist,articulista
columnista,columnist,columnista
comandante,commander,comandante
administrativo de comercio,commerce administrator,administrativo de comercio
asesor fiscal mercantil,commercial advisor,asesor fiscal mercantil
coordinador de equipos comerciales,commercial coordinator,coordinador de equipos comerciales
jefe sector de comercio,commercial manager,jefe sector de comercio
responsable operaciones comerciales,commercial operations,responsable operaciones comerciales
ingeniero puesta marcha,commissioning engineer,ingeniero puesta marcha
coordinador de comunicacion,communication coordinator,coordinador de comunicacion
asesor comunicaciones,communications advisor,asesor comunicaciones
asistente comunicaciones,communications assistant,asistente comunicaciones
consultor de comunicaciones,communications consultant,consultor de comunicaciones
ingeniero de comunicaciones,communications engineer,ingeniero de comunicaciones
responsable comunicaciones seguridad,communications lead,responsable comunicaciones seguridad
responsable departamento comunicaciones,communications lead,responsable departamento comunicaciones
responsable redes comunicaciones,communications lead,responsable redes comunicaciones
director comunicaciones corporativas,communications manager,director comunicaciones corporativas
encargado comunicaciones,communications manager,encargado comunicaciones
gestor comunicaciones,communications manager,gestor comunicaciones
oficial comunicaciones,communications officer,oficial comunicaciones
tecnico comunicaciones sistemas,communications systems operator,tecnico comunicaciones sistemas
tecnico comunicaciones redes,communications technician,tecnico comunicaciones redes
tecnico de comunicaciones,communications technician,tecnico de comunicaciones
tecnico informatico de comunicaciones,communications technician,tecnico informatico de comunicaciones
responsable de comunidad,community manager,responsable de comunidad
enfermero enfermeria familiar comunitaria,community nurse,enfermero enfermeria familiar comunitaria
enfermero familiar comunitaria,community nurse,enfermero familiar comunitaria
oficial unidad movil,community officer,oficial unidad movil
director empresa,company director,director empresa
director negocio empresa,company director,director negocio empresa
secretario departamento compras,company secretary,secretario departamento compras
ingeniero de diseno asistido de ordenador,computer network engineer,ingeniero de diseno asistido de ordenador
programador de aplicaciones informaticas,computer programmer,programador de aplicaciones informaticas
formador aplicaciones informaticas,computer science,formador aplicaciones informaticas
becario colaboracion servicios informaticos,computer service,becario colaboracion servicios informaticos
mantenimiento equipos informaticos,computer support,mantenimiento equipos informaticos
soporte informatico,computer support,soporte informatico
informatico,computer technician,informatico
tecnico administrativo informatico,computer technician,tecnico administrativo informatico
tecnico informatico,computer technician,tecnico informatico
tecnico informatico mantenimiento,computer technician,tecnico informatico mantenimiento
tecnico informatico vendedor,computer technician,tecnico informatico vendedor
vendedor tecnico informatico,computer technician,vendedor tecnico informatico
azafato imagen ferias congresos,conference & events coordinator,azafato imagen ferias congresos
coordinador de eventos y congresos,conference events coordinator,coordinador de eventos y congresos
organizador congresos,conference organiser,organizador congresos
conservador restaurador bienes culturales,conservator,conservador restaurador bienes culturales
conservador restaurador obras arte,conservator,conservador restaurador obras arte
conservadora restauradora obras arte,conservator,conservadora restauradora obras arte
coordinador obras,construction coordinator,coordinador obras
director de obra,construction manager,director de obra
encargado de construccion,construction manager,encargado de construccion
gerente construcciones,construction manager,gerente construcciones
gerente empresa constructora,construction manager,gerente empresa constructora
jefe de obra,construction manager,jefe de obra
responsable de obra,construction manager,responsable de obra
administrativo del sector de la construccion,construction supervisor,administrativo del sector de la construccion
jefe de construccion,construction supervisor,jefe de construccion
ayudante construccion,construction worker,ayudante construccion
trabajador construccion,construction worker,trabajador construccion
consultoria,consultancy,consultoria
asesor dental,consultant,asesor dental
asesor lactancia,consultant,asesor lactancia
consultor,consultant,consultor
consultor administrativo,consultant,consultor administrativo
consultor becario,consultant,consultor becario
consultor contenidos,consultant,consultor contenidos
consultor departamento,consultant,consultor departamento
consultor europeos,consultant,consultor europeos
consultor genero,consultant,consultor genero
consultor junior,consultant,consultor junior
consultor organizacional,consultant,consultor organizacional
consultor responsable,consultant,consultor responsable
consultor turismo,consultant,consultor turismo
consultor urbanismo,consultant,consultor urbanismo
gestor pymes,consultant,gestor pymes
analista asesor,consultant analyst,analista asesor
analista consultor,consultant analyst,analista consultor
analista funcional consultor,consultant analyst,analista funcional consultor
consultor analista funcional,consultant analyst,consultor analista funcional
consultor analista sistemas,consultant analyst,consultor analista sistemas
arquitecto consultor estructuras,consultant architect,arquitecto consultor estructuras
consultor auditor calidad,consultant auditor,consultor auditor calidad
consultor sig,consultant designer,consultor sig
consultor desarrollador,consultant developer,consultor desarrollador
medico urgencias atencion,consultant emergency medicine,medico urgencias atencion
consultor servicios financieros,consultant financial services,consultor servicios financieros
adjunto medicina intensiva,consultant intensive care medicine,adjunto medicina intensiva
facultativo medicina intensiva,consultant intensive care medicine,facultativo medicina intensiva
fea medicina intensiva,consultant intensive care medicine,fea medicina intensiva
medico interno residente medicina intensiva,consultant intensive care medicine,medico interno residente medicina intensiva
director consejero,consultant manager,director consejero
medico psiquiatra,consultant psychiatrist,medico psiquiatra
psiquiatra,consultant psychiatrist,psiquiatra
psiquiatra consultor,consultant psychiatrist,psiquiatra consultor
psicologo reconocimiento conductores,consultant psychologist,psicologo reconocimiento conductores
consultor estrategia operaciones,consultant strategy operations,consultor estrategia operaciones
consultor supervisor,consultant supervisor,consultor supervisor
consultor jefe de equipo,consultant team leader,consultor jefe de equipo
ingeniero asesor,consulting engineer,ingeniero asesor
ingeniero consultor,consulting engineer,ingeniero consultor
gerente asesor,consulting manager,gerente asesor
socio consultor,consulting partner,socio consultor
coordinador contenidos,content coordinator,coordinador contenidos
redactor coordinador contenidos,content coordinator,redactor coordinador contenidos
creador contenido audiovisual,content creator,creador contenido audiovisual
creador de contenidos,content creator,creador de contenidos
creador redactor,content creator,creador redactor
creador web,content creator,creador web
elaboracion contenidos,content creator,elaboracion contenidos
redactor contenidos,content creator,redactor contenidos
responsable contenidos multimedia,content creator,responsable contenidos multimedia
responsable de contenido,content creator,responsable de contenido
responsable de contenidos,content creator,responsable de contenidos
disenador de contenidos,content designer,disenador de contenidos
director contenido,content director,director contenido
director de contenidos,content director,director de contenidos
fundador director contenidos,content director,fundador director contenidos
editor contenidos,content editor,editor contenidos
editor de contenidos,content editor,editor de contenidos
editor redactor de contenidos,content editor,editor redactor de contenidos
redactor contenidos culturales,content editor,redactor contenidos culturales
redactor contenidos multimedia,content editor,redactor contenidos multimedia
redactor contenidos musicales,content editor,redactor contenidos musicales
redactor contenidos seo,content editor,redactor contenidos seo
redactor editor contenidos,content editor,redactor editor contenidos
gestor de contenidos,content manager,gestor de contenidos
redactor gestor contenidos,content manager,redactor gestor contenidos
colaborador contenidos,content provider,colaborador contenidos
ingeniero mejora continua,continuous improvement engineer,ingeniero mejora continua
ingeniero procesos mejora continua,continuous improvement engineer,ingeniero procesos mejora continua
director mejora continua,continuous improvement manager,director mejora continua
administrador contrato,contract administrator,administrador contrato
gestor contrato,contract manager,gestor contrato
gestor de contratos,contract manager,gestor de contratos
autor colaborador,contributing writer,autor colaborador
colaborador,contributor,colaborador
coloborador,contributor,coloborador
controlador,controller,controlador
interventor,controller,interventor
controller,controller supervisor,controller
cocinero,cook,cocinero
cocinero cocina,cook,cocinero cocina
oficial cocina,cook,oficial cocina
abogado coordinador,coordinator,abogado coordinador
coordinador,coordinator,coordinador
coordinador agencias,coordinator,coordinador agencias
coordinador audiovisual,coordinator,coordinador audiovisual
coordinador baleares,coordinator,coordinador baleares
coordinador cantera,coordinator,coordinador cantera
coordinador ciclo,coordinator,coordinador ciclo
coordinador de revista,coordinator,coordinador de revista
coordinador delegaciones,coordinator,coordinador delegaciones
coordinador delegado,coordinator,coordinador delegado
coordinador departamentos,coordinator,coordinador departamentos
coordinador ediciones,coordinator,coordinador ediciones
coordinador emisiones,coordinator,coordinador emisiones
coordinador fisioterapia,coordinator,coordinador fisioterapia
coordinador ingles,coordinator,coordinador ingles
coordinador locutor,coordinator,coordinador locutor
coordinador montaje,coordinator,coordinador montaje
coordinador movilidad,coordinator,coordinador movilidad
coordinador multimedia,coordinator,coordinador multimedia
coordinador ocupacional,coordinator,coordinador ocupacional
coordinador plataforma,coordinator,coordinador plataforma
coordinador radio,coordinator,coordinador radio
coordinador rrpp,coordinator,coordinador rrpp
coordinador software,coordinator,coordinador software
coordinador soldadura,coordinator,coordinador soldadura
cordinador,coordinator,cordinador
recepcionista coordinador,coordinator,recepcionista coordinador
encargado coordinador,coordinator manager,encargado coordinador
gerente coordinador,coordinator manager,gerente coordinador
redactor critico,copywriter,redactor critico
redactor publicidad,copywriter,redactor publicidad
redactor publicitario,copywriter,redactor publicitario
redactor corrector textos,copywriter editor,redactor corrector textos
redactor prensa escrita,copywriter editor,redactor prensa escrita
ejecutivo cuentas banca corporativa,corporate account executive,ejecutivo cuentas banca corporativa
ejecutivo cuentas corporativas,corporate account executive,ejecutivo cuentas corporativas
analista banca corporativa,corporate analyst,analista banca corporativa
asesor imagen personal corporativa,corporate consultant,asesor imagen personal corporativa
gerente desarrollo corporativo,corporate development manager,gerente desarrollo corporativo
director corporativo,corporate director,director corporativo
director corporativo compras,corporate director,director corporativo compras
director de negocio de banca corporativa,corporate director,director de negocio de banca corporativa
gerente corporativo,corporate manager,gerente corporativo
gerente responsable,corporate responsibility manager,gerente responsable
gestor responsable,corporate responsibility manager,gestor responsable
responsabilidad social corporativa,corporate responsibility manager,responsabilidad social corporativa
responsable corporativo,corporate responsibility manager,responsable corporativo
responsable identidad corporativa,corporate responsibility manager,responsable identidad corporativa
corresponsal,correspondent,corresponsal
corresponsal colaborador,correspondent,corresponsal colaborador
corresponsal prensa,correspondent,corresponsal prensa
administrativo costes,cost accountant,administrativo costes
controlador costes,cost controller,controlador costes
ingeniero de costes,cost engineer,ingeniero de costes
director explotaciones,cost manager,director explotaciones
estilista vestuario,costume designer stylist,estilista vestuario
jefe de vestuario,costume supervisor,jefe de vestuario
concejal hacienda,council,concejal hacienda
miembro consejo academico,council member,miembro consejo academico
miembro consejo social,council member,miembro consejo social
concejal,councillor,concejal
atencion de asesoramiento,counsellor,atencion de asesoramiento
mediador social,counsellor,mediador social
supervisor puntos venta,counsellor supervisor,supervisor puntos venta
docente orientadora laboral,counsellor teacher,docente orientadora laboral
orientador docente,counsellor teacher,orientador docente
orientadora docente,counsellor teacher,orientadora docente
mensajero,courier,mensajero
coordinador curso,course coordinator,coordinador curso
secretario de juzgado,court clerk,secretario de juzgado
secretario judicial,court clerk,secretario judicial
encargado jefe sala,court manager,encargado jefe sala
gestor procesal,court manager,gestor procesal
oficial procurador tribunales,court officer,oficial procurador tribunales
monitor extraescolares,cover supervisor teacher,monitor extraescolares
directora de arte creativa,creative art director,directora de arte creativa
auxiliar creativo,creative assistant,auxiliar creativo
redactor publicitario creativo,creative copywriter,redactor publicitario creativo
creativo,creative designer,creativo
creativo publicidad,creative designer,creativo publicidad
director creativo,creative director,director creativo
realizador creativo,creative director,realizador creativo
redactor creativo,creative editor,redactor creativo
creador director,creator director,creador director
analista de riesgos de credito,credit risk analyst,analista de riesgos de credito
director riesgo credito,credit risk manager,director riesgo credito
tripulante,crew member,tripulante
enfermero de cuidados criticos,critical care nurse,enfermero de cuidados criticos
crupier,croupier,crupier
mediador cultural,cultural mediator,mediador cultural
gestor cultural,cultural representative,gestor cultural
conservador,curator,conservador
delegado atencion,customer care manager,delegado atencion
gestor atencion,customer care manager,gestor atencion
asesor de relaciones publicas,customer relations advisor,asesor de relaciones publicas
asesor relaciones institucionales,customer relations advisor,asesor relaciones institucionales
administrativo atencion usuario,customer service administrator,administrativo atencion usuario
administrativo con tareas de atencion al publico,customer service administrator,administrativo con tareas de atencion al publico
administrativo servicio atencion,customer service administrator,administrativo servicio atencion
asesor atencion,customer service advisor,asesor atencion
agente de atencion al ciudadano,customer service agent,agente de atencion al ciudadano
gestor servicio atencion,customer service agent,gestor servicio atencion
coordinador atencion,customer service coordinator,coordinador atencion
jefe servicio atencion,customer service manager,jefe servicio atencion
recepcionista administrativo atencion,customer service receptionist,recepcionista administrativo atencion
maestro danza,dance teacher,maestro danza
profesor de baile,dance teacher,profesor de baile
profesor de danza,dance teacher,profesor de danza
profesor danza vientre,dancer teacher,profesor danza vientre
analista de datos,data analyst,analista de datos
grabador datos auxiliar administrativo,data entry administrator,grabador datos auxiliar administrativo
gestor datos,data manager,gestor datos
operador grabador datos,data operator,operador grabador datos
jefe proceso datos,data processor,jefe proceso datos
procesador datos,data processor,procesador datos
administrador bbdd,database administrator,administrador bbdd
administrador de bases de datos,database administrator,administrador de bases de datos
administrativo base datos,database administrator,administrativo base datos
analista de bases de datos,database analyst,analista de bases de datos
analista programador bases datos,database analyst,analista programador bases datos
coordinador base,database coordinator,coordinador base
gestor bases datos,database manager,gestor bases datos
gestor de bases de datos,database manager,gestor de bases de datos
responsable bases datos,database manager,responsable bases datos
gerente concesionario,deal manager,gerente concesionario
distribuidor,dealer,distribuidor
decano,dean,decano
gestor de deuda,debt manager,gestor de deuda
agente delegado,delegate,agente delegado
delegado administrativo,delegate,delegado administrativo
delegado alava,delegate,delegado alava
delegado albacete,delegate,delegado albacete
delegado burgos,delegate,delegado burgos
delegado consultor,delegate,delegado consultor
delegado general,delegate,delegado general
delegado junior,delegate,delegado junior
delegado producto,delegate,delegado producto
delegado provincial,delegate,delegado provincial
delegado responsable,delegate,delegado responsable
delegado seguros,delegate,delegado seguros
delegado tecnico,delegate,delegado tecnico
examinadora delegada,delegate,examinadora delegada
delegado asturias cantabria,delegate executive,delegado asturias cantabria
delegado ejecutivo,delegate executive,delegado ejecutivo
delegado gran canaria,delegate executive,delegado gran canaria
delegado jefe de ventas,delegate sales executive,delegado jefe de ventas
delegado punto venta,delegate sales executive,delegado punto venta
delegado ventas diabetes,delegate sales executive,delegado ventas diabetes
delegado ventas hospitalaria,delegate sales executive,delegado ventas hospitalaria
delegado ventas hospitalarias,delegate sales executive,delegado ventas hospitalarias
delegado ventas linea,delegate sales executive,delegado ventas linea
jefe ventas delegado,delegate sales executive,jefe ventas delegado
panadero repartidor,delivery,panadero repartidor
repartidor cocinero,delivery,repartidor cocinero
auxiliar de reparto,delivery assistant,auxiliar de reparto
auxiliar tienda repartidor,delivery assistant,auxiliar tienda repartidor
ayudante repartidor,delivery assistant,ayudante repartidor
repartidor de publicidad,delivery director,repartidor de publicidad
conductor repartidor,delivery driver,conductor repartidor
repartidor,delivery driver,repartidor
administrativo repartidor,delivery officer,administrativo repartidor
gestor demanda,demand manager,gestor demanda
higienista,dental hygienist,higienista
dentista,dentist,dentista
asistente departamento calidad,department assistant,asistente departamento calidad
asistente departamento cuentas,department assistant,asistente departamento cuentas
asistente departamento operaciones,department assistant,asistente departamento operaciones
asistente departamento prensa,department assistant,asistente departamento prensa
asistente departamento ventas,department assistant,asistente departamento ventas
ayudante departamento calidad,department assistant,ayudante departamento calidad
adjunta departamento,department manager,adjunta departamento
administrativo departamento hh,department manager,administrativo departamento hh
becario departamento estructuras,department manager,becario departamento estructuras
departamento comercio,department manager,departamento comercio
departamento reclamaciones,department manager,departamento reclamaciones
departamento telecomunicaciones,department manager,departamento telecomunicaciones
director departamento laboral,department manager,director departamento laboral
encargado de departamento,department manager,encargado de departamento
encargado departamento informatico,department manager,encargado departamento informatico
gerente departamento fiscal,department manager,gerente departamento fiscal
jefe departamento estructuras,department manager,jefe departamento estructuras
jefe departamento fiscal,department manager,jefe departamento fiscal
jefe departamento trafico,department manager,jefe departamento trafico
jefe equipo departamento,department manager,jefe equipo departamento
responsable de departamento,department manager,responsable de departamento
responsable departamento alquileres,department manager,responsable departamento alquileres
responsable departamento arte,department manager,responsable departamento arte
responsable departamento estructuras,department manager,responsable departamento estructuras
responsable departamento flotas,department manager,responsable departamento flotas
responsable departamento medios,department manager,responsable departamento medios
responsable departamento presupuestos,department manager,responsable departamento presupuestos
responsable departamento procesal,department manager,responsable departamento procesal
responsable departamento publicidad,department manager,responsable departamento publicidad
responsable departamento riesgos,department manager,responsable departamento riesgos
responsable departamento siniestros,department manager,responsable departamento siniestros
responsable departamento telecomunicaciones,department manager,responsable departamento telecomunicaciones
responsable departamento urbanismo,department manager,responsable departamento urbanismo
responsable dpto administrativo,department manager,responsable dpto administrativo
responsable dpto grupos,department manager,responsable dpto grupos
responsable dpto obras,department manager,responsable dpto obras
responsable dpto proveedores,department manager,responsable dpto proveedores
responsable dpto reservas,department manager,responsable dpto reservas
diputado,deputy,diputado
procurador en cortes,deputy,procurador en cortes
adjunta consejero delegado,deputy ceo,adjunta consejero delegado
adjunto director planta,deputy director,adjunto director planta
director adjunto,deputy director,director adjunto
director delegado,deputy director,director delegado
subdirector adjunta,deputy director,subdirector adjunta
subdirector director,deputy director,subdirector director
subdirector interventor,deputy director,subdirector interventor
subdirector provincial,deputy director,subdirector provincial
adjunto responsable operaciones,deputy director operations,adjunto responsable operaciones
editor adjunto,deputy editor,editor adjunto
director ejecutivo adjunto,deputy executive director,director ejecutivo adjunto
director general adjunto,deputy general manager,director general adjunto
subdirector general,deputy general manager,subdirector general
jefe adjunto ventas,deputy head,jefe adjunto ventas
adjunto departamento,deputy head department,adjunto departamento
adjunto departamento calidad,deputy head department,adjunto departamento calidad
adjunta encargado,deputy manager,adjunta encargado
administrador unico gerente,deputy manager,administrador unico gerente
gestor subdirector,deputy manager,gestor subdirector
ayudante proyectista,design assistant,ayudante proyectista
ingeniero de diseno y desarrollo,design development engineer,ingeniero de diseno y desarrollo
ingeniero proyectista,design engineer,ingeniero proyectista
encargado de diseno,design manager,encargado de diseno
disenador administrador,design officer,disenador administrador
tecnico superior de tecnologias,design technology technician,tecnico superior de tecnologias
disenador,designer,disenador
disenador asesor,designer,disenador asesor
disenador de personajes,designer,disenador de personajes
disenador de videojuegos,designer,disenador de videojuegos
disenador proyectista,designer,disenador proyectista
proyectista,designer,proyectista
proyectista calculista,designer,proyectista calculista
delineante proyectista,designer draughtsman,delineante proyectista
desarrollador front end back end,designer front end developer,desarrollador front end back end
delineante proyectista catia,designer maker,delineante proyectista catia
disenador de imagen corporativa,designer maker,disenador de imagen corporativa
proyectista moldes inyeccion plastico,designer maker,proyectista moldes inyeccion plastico
detective privado,detective,detective privado
becario desarrollador,developer,becario desarrollador
desarrollador,developer,desarrollador
desarrollador drupal,developer,desarrollador drupal
desarrollador erp,developer,desarrollador erp
desarrollador informatico,developer,desarrollador informatico
desarrollador ios android,developer,desarrollador ios android
promotor constructora,developer,promotor constructora
resp desarrollo,development,resp desarrollo
analista de desarrollo,development analyst,analista de desarrollo
consultor desarrollo organizacional,development consultant,consultor desarrollo organizacional
consultor seleccion desarrollo,development consultant,consultor seleccion desarrollo
director de desarrollo,development director,director de desarrollo
director desarrollo innovacion,development director,director desarrollo innovacion
director desarrollo tecnologico,development director,director desarrollo tecnologico
director seleccion desarrollo,development director,director seleccion desarrollo
ingeniero calidad desarrollo,development engineer,ingeniero calidad desarrollo
ingeniero de desarrollo,development engineer,ingeniero de desarrollo
ingeniero desarrollo hw sw,development engineer,ingeniero desarrollo hw sw
ingeniero desarrollos,development engineer,ingeniero desarrollos
encargado desarrollo,development manager,encargado desarrollo
gerente seleccion desarrollo,development manager,gerente seleccion desarrollo
jefe de desarrollo,development manager,jefe de desarrollo
responsable de desarrollo,development manager,responsable de desarrollo
tecnico de seleccion y desarrollo,development technician,tecnico de seleccion y desarrollo
agente de desarrollo tecnologico,development technologist,agente de desarrollo tecnologico
desarrollo tecnologico,development technologist,desarrollo tecnologico
desarrollador formador,development trainer,desarrollador formador
tecnico de imagen y diagnostico,diagnostic technician,tecnico de imagen y diagnostico
tecnico diagnostico imagen,diagnostic technician,tecnico diagnostico imagen
tecnico imagen diagnostico medicina nuclear,diagnostic technician,tecnico imagen diagnostico medicina nuclear
tecnico superior diagnostico imagen,diagnostic technician,tecnico superior diagnostico imagen
tecnico superior imagen diagnostico medicina nuclear,diagnostic technician,tecnico superior imagen diagnostico medicina nuclear
tecnico superior imagen diagnostico practicas,diagnostic technician,tecnico superior imagen diagnostico practicas
artista digital,digital artist,artista digital
redactor de contenidos digitales,digital content editor,redactor de contenidos digitales
gestor contenidos digitales,digital content manager,gestor contenidos digitales
coordinador digital,digital coordinator,coordinador digital
jefe publicidad digital,digital editor,jefe publicidad digital
periodista digital,digital journalist,periodista digital
periodista web,digital journalist,periodista web
profesor periodismo digital,digital journalist,profesor periodismo digital
venta directa,direct sales,venta directa
director,director,director
director audiovisual,director,director audiovisual
director audiovisuales,director,director audiovisuales
director banda,director,director banda
director cantabria,director,director cantabria
director congresos,director,director congresos
director culturales,director,director culturales
director ediciones,director,director ediciones
director flotas,director,director flotas
director hipotecario,director,director hipotecario
director idiomas,director,director idiomas
director incentivos,director,director incentivos
director ofertas,director,director ofertas
director realizador,director,director realizador
director redactor jefe,director,director redactor jefe
director responsable,director,director responsable
director social,director,director social
director supermercados,director,director supermercados
director verano,director,director verano
director vestuario,director,director vestuario
director web,director,director web
director academia idiomas,director academy,director academia idiomas
director administrativo contable,director account management,director administrativo contable
director cuenta unidad grandes,director accounts,director cuenta unidad grandes
director cuentas comerciales,director accounts,director cuentas comerciales
director de grandes cuentas,director accounts,director de grandes cuentas
director de administracion,director administration,director de administracion
director asesor,director advisory,director asesor
director pyme,director assessment,director pyme
director banca institucional,director banking,director banca institucional
subdirector oficina banca,director banking,subdirector oficina banca
director operaciones desarrollo negocio,director business development operations,director operaciones desarrollo negocio
director operaciones comerciales,director business operations,director operaciones comerciales
director mercado capitales,director capital markets,director mercado capitales
director entrenador,director coach,director entrenador
director de comunicaciones,director communications,director de comunicaciones
director unidad grandes,director community,director unidad grandes
director consultoria,director consulting,director consultoria
director responsabilidad social corporativa,director corporate,director responsabilidad social corporativa
director banca corporaciones,director corporate banking,director banca corporaciones
director banca corporativa,director corporate banking,director banca corporativa
director cuentas banca corporativa,director corporate banking,director cuentas banca corporativa
director de desarrollo corporativo,director corporate development,director de desarrollo corporativo
responsable servicios corporativos,director corporate service,responsable servicios corporativos
ingeniero director obras,director engineer,ingeniero director obras
director departamento medio ambiente,director environment,director departamento medio ambiente
director ambiental,director environmental service,director ambiental
director medioambiente,director environmental service,director medioambiente
director departamento instalaciones,director facilities,director departamento instalaciones
director financiera administrativo,director finance administration,director financiera administrativo
director de instituciones,director financial institutions,director de instituciones
director institucional,director financial institutions,director institucional
